title,image_url,gender
I Love Squats Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/ILoveSquatsHoodieGSAsphaltGreyB1C9E-GCBZ2_3840x.jpg?v=1722504833,0
One Shoulder Sports Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/OneShoulderSportsBraGSBlackB8A5Y-BB2J-1033_9445084a-ba58-46d4-be8f-6de5a269c716_3840x.jpg?v=1709107954,0
Training Fleece Joggers,https://cdn.shopify.com/s/files/1/0156/6146/files/TRAININGFLEECEJOGGER-LightGreyCoreMarl-B7A4D-GBCN-0265_d314c20a-22b5-4a49-bd17-011b796fefbe_3840x.jpg?v=1717097795,0
Everyday Seamless Sports Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessSportsBraGSBlackB8A4T-BB2J0631_9922bc0a-205a-4aaa-bd38-ef817c9c23e0_3840x.jpg?v=1710775069,0
Adapt Safari Seamless Leggings,https://cdn.shopify.com/s/files/1/0156/6146/files/AdaptPatternSeamlessLeggingENG-L-A0195GSBlack-GSAsphaltGreyB6A8U-BCHM-1352_3840x.jpg?v=1723454347,0
Strength Department Oversized Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/StrengthDepartmentOversizedHoodieGSBlackB1C8Z-BB2J_4b589b20-6d9f-4682-b5c6-ae6a5213f59a_3840x.jpg?v=1722504835,0
Crest Oversized Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/CrestOversizedHoodieGSPebbleGreyA5A8O-GB7P-1429_3840x.jpg?v=1713881507,1
Lifting Essentials Oversized Sweatshirt,https://cdn.shopify.com/s/files/1/0156/6146/files/GFXLIFTINGESSENTIALSGOTHICBRUSHEDOVERSIZEDSWEATSHIRTGSBlackB2B2X-BB2J9854_3840x.jpg?v=1730373853,0
Elevate Leggings,https://cdn.shopify.com/s/files/1/0156/6146/files/ELEVATELEGGINGSBlackBlackB3A6M-BBBB35_0e70a484-c7c2-440e-93c2-1b16eceb7ae9_3840x.jpg?v=1721396318,0
"Arrival 5"" Shorts",https://cdn.shopify.com/s/files/1/0156/6146/files/ArrivalSlim5-ShortCoreOliveA2A1M-EBF1.A_3840x.jpg?v=1702281434,1
Crest Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/CrestHoodieBlack-A2A4G-BBBB-0290_3840x.jpg?v=1686038823,1
Vital Seamless 2.0 Shorts,https://cdn.shopify.com/s/files/1/0156/6146/files/VitalSeamlessShortsBlackMarlBlackMarlB1A4J-BBF3-1380_34c3484a-4ea8-42b0-9dc8-313e7626edd6_3840x.jpg?v=1722505088,0
Everyday Seamless Long Sleeve Crop Top,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessLongSleeveCropTopGSNavyB7A2S-UB9P-0876_3840x.jpg?v=1690799792,0
Trophy Graphic T-Shirt,https://cdn.shopify.com/s/files/1/0156/6146/files/GFXTrophyRDESST-ShirtGSBlackA7A2M-BB2J-0862_7ea007d5-9e8b-41d9-8dbd-096e8338b097_3840x.jpg?v=1730366411,1
Vital Seamless 2.0 Leggings,https://cdn.shopify.com/s/files/1/0156/6146/files/VitalSeamlessWLeggingsWoodlandGreen-MarlB1A2B-EBTF-2563_3840x.jpg?v=1715358540,0
Vital Seamless 2.0 Leggings,https://cdn.shopify.com/s/files/1/0156/6146/files/VitalSeamless2.0LeggingsGSBlackB1A2B-BBF311976_948c69f7-cb98-4c83-82a2-5dbcbf6837ab_3840x.jpg?v=1722505083,0
Everyday Seamless Shorts,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessShortsGSBurgundyBrownB6A8M-RBQV-1886_3840x.jpg?v=1711527973,0
Everyday Seamless Shorts,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessShortsGSBurgundyBrownB6A8M-RBQV-1886_3840x.jpg?v=1711527973,0
