Product Name,Price
"Fast and Free High-Rise Crop 23"" Pockets \
Updated",128.0
"UnderEase High-Rise Bikini Underwear \
3 Pack",48.0
"lululemon Align\'99 Ribbed Henley Tank Top \
Light Support, A/B Cup",68.0
Wundermost Ultra-Soft Nulu High-Waist Thong Underwear,26.0
"Wundermost Ultra-Soft Nulu High-Waist Thong Underwear \
3 Pack",68.0
Another Mile Jacket,228.0
"lululemon Align\'99 High-Rise Ribbed Crop 23""",118.0
It's Rulu Cropped Half Zip,108.0
"Smooth Spacer Hoodie \
Emboss",128.0
"Fast and Free Reflective High-Rise Classic-Fit Short 3""",78.0
Wrap-Front Mid-Rise Golf Skirt,98.0
Strongfeel Women's Training Shoe,128.0
"Modal-Blend Pleated High-Rise Trouser \
Short",148.0
Wunder Puff Long Jacket,398.0
"Team Canada Perfectly Oversized Cropped Crew \
CPC Logo",108.0
"Bend This One-Shoulder Bra \
Light Support, A-C Cups",48.0
"Wundermost Ultra-Soft Nulu Bandeau Bralette \
A-D Cups",38.0
Ribbed Softstreme Slim-Fit Tank Dress,138.0
Wundermost Ultra-Soft Nulu Square-Neck Long-Sleeve Bodysuit,88.0
Wundermost Ultra-Soft Nulu Super-Cropped Tank Top,48.0
Modal Relaxed-Fit Cropped Short-Sleeve Shirt,58.0
Wundermost Ultra-Soft Nulu Mockneck Super-Cropped Long-Sleeve Shirt,78.0
Lightweight Linerless Tennis Dress,118.0
"Ultralu Square-Neck Workout Bra \
Medium Support, D/DD Cup",68.0
It's Rulu Ribbed Cropped Half Zip,98.0
"Dance Studio Mid-Rise Pant \
Tall",118.0
Restfeel Women's Sandal,78.0
It's Rulu Ribbed Long-Sleeve Shirt,108.0
It's Rulu Long-Sleeve Shirt,98.0
Modal High-Rise Wide-Leg Lounge Pant,98.0
"Wunder Train High-Rise Tight 25"" \
Hem Slit",118.0
"Stretch Woven High-Rise Bermuda Short 9""",88.0
"Everlux V-Neck Long-Sleeve Bra Top \
Light Support, A/B Cup",88.0
"Team Canada Classic-Fit Cotton-Blend T-Shirt \
CPC Logo",58.0
Modal Relaxed-Fit Lounge Long-Sleeve Shirt,68.0
License to Train Lightweight Jacket,148.0
"Women's Woven Overalls \
Pride",198.0
Rest Less Pullover,108.0
Lightweight Cargo Mid-Rise Hiking Pant,148.0
Push Your Pace Jacket,198.0
"Quick Dry Sleeveless Polo Shirt \
Straight Hem",68.0
"Relaxed-Fit Super-High-Rise Cargo Short 4""",118.0
"lululemon Energy Bra High Support Zip-Front \
High Support, B\'96G Cups",68.0
"lululemon Align\'99 Cross-Back Bodysuit 25""",148.0
Ventilated Packable Trail Running Jacket,148.0
"Softstreme High-Rise Pant \
Tall",128.0
Beyondfeel Women's Trail Running Shoe,168.0
"lululemon Align\'99 Dress \
Pride",148.0
"Team Canada lululemon Align\'99 High-Rise Pant 25"" \
CPC Logo",98.0
"Warpstreme Multi-Pocket Mid-Rise Golf Pant 28""",138.0
"Team Canada Relaxed-Fit High-Rise Jogger \
CPC Logo",118.0
Wundermost Ultra-Soft Nulu Turtleneck Bodysuit,88.0
Chargefeel 2 Mid Women's Workout Shoe,148.0
"Wunder Under SmoothCover Tight with Pockets 25""",128.0
"Wunder Train Strappy Racer Bra Ribbed \
Light Support, A/B Cup",58.0
All Aligned Ribbed Midi Dress,128.0
Wunder Puff Cropped Jacket,278.0
"Scuba Oversized Funnel-Neck Half Zip \
Pride",128.0
InvisiWear Mid-Rise Thong Underwear,18.0
"Lightweight Tennis Mid-Rise Track Pant \
Full Length",128.0
"lululemon Align\'99 Asymmetrical Bra Light Support, A/B Cup \
Pride",68.0
"All Yours Cropped Tank Top \
Pride",54.0
"Relaxed-Fit Cotton Jersey T-Shirt \
Pride",68.0
"lululemon Align\'99 Halter Bra \
Light Support, C/D Cup",58.0
"Fast and Free High-Rise Thermal Tight 28"" \
Pockets",148.0
"Scuba High-Rise Short 5"" \
Pride",88.0
Another Mile Vest,168.0
"Track That High-Rise Lined Short 3""",68.0
"Narrow Hem Cropped Tennis Tank Top \
Medium Support, B/C Cup",68.0
"Wunder Train High-Rise Short 6"" \
Pride",69.0
It's Rulu Half Zip,108.0
License to Train Mid-Rise Lightweight Jogger,148.0
All Yours Cropped T-Shirt,48.0
"Wundermost Ultra-Soft Nulu Super-High-Rise Shortie Underwear 2"" \
3 Pack",72.0
Merino Wool-Blend Base Layer Half Zip,118.0
InvisiWear Mid-Rise Bikini Underwear,18.0
"Fast and Free High-Rise Short 6"" \
Pockets",74.0
"All Yours Short-Sleeve T-Shirt \
Vitasea",58.0
"Luxtreme High-Rise Tennis Short 3.5""",74.0
lululemon Align\'99 Halter Tank Top,68.0
Utilitech Relaxed Mid-Rise Trouser 7/8 Length,148.0
"Warpstreme Multi-Pocket Mid-Rise Golf Crop 24""",138.0
"Fast and Free High-Rise Thermal Tight 25"" \
Pockets",148.0
"Lightweight Linerless Tennis Dress \
Logo",128.0
"Fast and Free High-Rise Crop with Pockets 19""",118.0
"Adapted State High-Rise Fleece Jogger \
Full Length",138.0
Pack It Down Vest,148.0
Love Modal Fleece Long-Sleeve Shirt,68.0
"Lunar New Year lululemon Align\'99 Tank Top \
Light Support, A/B Cup",58.0
Sleek City Jacket,168.0
"lululemon Align\'99 Waist-Length Cami Tank Top \
C/D Cup",68.0
"Flow Y Bra Nulu Shine \
Light Support, A\'96C Cups",48.0
UnderEase High-Rise Thong Underwear,18.0
UnderEase High-Rise Bikini Underwear,18.0
"lululemon Align\'99 High-Rise Crop 23"" \
Shine",118.0
"SenseKnit Running High-Rise Short 8""",108.0
"Swiftly Tech High-Neck Tank Top 2.0 \
Waist Length",58.0
"Wunder Train High-Rise Tight 31""",98.0
"lululemon Align\'99 High-Rise Pant with Pockets 31""",128.0
Front-Zip Mockneck Tennis Tank Top,68.0
"lululemon Align\'99 V-Waist Crop 23""",108.0
